image_name,building,furniture,stones,water,road,plant
outdoor_manmade_0147,0,0,0,1,0,0
outdoor_manmade_0148,0,0,0,1,1,0
outdoor_natural_0246,0,0,0,1,0,0
outdoor_natural_0062,0,0,0,1,0,0
outdoor_natural_0160,0,0,0,1,0,0
outdoor_natural_0255,0,0,0,1,0,0
outdoor_natural_0128,0,0,0,1,0,0
indoor_0156,0,0,0,1,0,0
outdoor_manmade_0173,0,0,0,1,0,0
outdoor_manmade_0089,0,0,0,1,0,0
outdoor_natural_0104,0,0,0,1,0,0
outdoor_natural_0273,0,0,0,1,0,0
outdoor_natural_0079,0,0,0,1,0,0
outdoor_manmade_0175,0,0,0,1,0,0
outdoor_natural_0042,0,0,0,1,0,0
outdoor_natural_0198,0,0,0,1,0,0
outdoor_manmade_0131,0,0,0,0,0,0
outdoor_natural_0091,0,0,0,1,0,0
outdoor_manmade_0152,0,0,0,1,0,0
outdoor_natural_0200,0,0,0,1,0,0
outdoor_manmade_0157,0,0,0,1,0,0
outdoor_manmade_0155,0,0,0,1,0,0
indoor_0282,0,0,0,1,0,0
outdoor_manmade_0256,0,0,0,0,1,0
outdoor_manmade_0257,0,0,0,0,1,0
outdoor_natural_0011,0,0,0,0,1,0
indoor_0066,0,0,0,0,1,1
outdoor_manmade_0119,0,0,0,0,1,0
outdoor_manmade_0220,0,0,0,1,0,0
outdoor_manmade_0068,0,0,0,0,1,0
outdoor_manmade_0133,0,0,0,0,1,0
outdoor_manmade_0258,0,0,0,0,1,0
outdoor_manmade_0040,0,0,0,0,1,0
outdoor_natural_0132,0,0,0,1,0,0
outdoor_manmade_0064,0,0,0,0,1,0
outdoor_manmade_0032,0,0,0,0,1,1
outdoor_manmade_0063,0,0,0,0,1,1
outdoor_manmade_0015,0,0,0,0,1,0
outdoor_manmade_0110,0,0,0,0,1,0
outdoor_manmade_0167,0,0,0,0,1,0
outdoor_manmade_0117,0,0,0,0,1,0
outdoor_manmade_0030,0,0,0,0,1,0
outdoor_natural_0207,0,0,0,1,0,0
outdoor_natural_0053,0,0,1,0,0,0
outdoor_natural_0261,0,0,0,0,1,0
outdoor_natural_0097,0,0,0,0,1,0
outdoor_natural_0004,0,0,0,0,1,0
outdoor_manmade_0149,0,0,0,0,1,0
outdoor_natural_0034,0,0,0,1,0,0
outdoor_manmade_0161,0,0,0,1,0,0
indoor_0033,0,0,0,0,1,0
indoor_0163,0,0,0,0,1,0
indoor_0235,1,0,0,0,0,0
indoor_0100,1,0,0,0,0,0
indoor_0058,0,1,0,0,0,1
indoor_0145,0,0,0,0,0,1
indoor_0271,0,0,0,0,0,0
indoor_0266,1,0,0,0,0,0
indoor_0130,1,0,0,0,0,0
outdoor_manmade_0276,0,0,0,0,1,0
indoor_0025,0,0,0,0,1,0
indoor_0021,0,0,0,0,1,0
outdoor_manmade_0165,1,0,0,0,0,0
indoor_0283,1,0,0,0,0,0
indoor_0136,0,0,0,0,1,0
indoor_0249,0,0,0,0,1,0
indoor_0279,0,1,0,0,0,0
indoor_0215,0,1,0,0,0,0
indoor_0221,1,0,0,0,0,0
indoor_0216,0,1,0,0,0,0
indoor_0214,0,1,0,0,0,0
indoor_0080,0,1,0,0,0,0
indoor_0103,0,1,0,0,0,0
indoor_0146,0,1,0,0,0,0
indoor_0055,1,0,0,0,0,0
indoor_0212,1,0,0,0,0,0
indoor_0281,1,0,0,0,0,0
outdoor_manmade_0154,0,0,0,1,0,0
indoor_0270,1,0,0,0,0,0
outdoor_natural_0049,0,0,1,0,0,0
outdoor_natural_0009,0,0,1,0,0,0
outdoor_natural_0010,0,0,1,0,0,0
indoor_0272,1,0,0,0,0,0
outdoor_natural_0008,0,0,1,0,0,0
outdoor_natural_0052,0,0,1,0,0,0
outdoor_natural_0023,0,0,1,0,0,0
outdoor_natural_0250,0,1,0,0,0,0
outdoor_natural_0050,0,0,1,0,0,0
outdoor_natural_0017,0,0,0,0,1,1
outdoor_natural_0252,0,0,1,0,0,0
