image_name,road,water,building,furniture,plant,stones
outdoor_manmade_0147,0,1,0,0,0,1
outdoor_manmade_0148,0,1,0,1,1,1
outdoor_natural_0246,1,1,0,1,1,1
outdoor_natural_0062,0,1,0,0,0,0
outdoor_natural_0160,1,0,0,0,0,0
outdoor_natural_0255,1,1,0,0,0,1
outdoor_natural_0128,0,0,0,0,0,0
indoor_0156,0,1,0,0,1,1
outdoor_manmade_0173,0,1,0,0,0,0
outdoor_manmade_0089,0,1,0,0,0,0
outdoor_natural_0104,1,0,0,0,0,0
outdoor_natural_0273,0,1,0,0,0,0
outdoor_natural_0079,1,1,0,0,0,1
outdoor_manmade_0175,0,1,0,0,0,0
outdoor_natural_0042,0,1,0,0,0,0
outdoor_natural_0198,0,1,0,0,0,0
outdoor_manmade_0131,1,0,0,0,0,0
outdoor_natural_0091,0,1,0,0,0,0
outdoor_manmade_0152,1,1,0,0,0,0
outdoor_natural_0200,0,1,0,0,0,0
outdoor_manmade_0157,1,1,0,1,1,0
outdoor_manmade_0155,0,1,0,0,0,0
indoor_0282,0,1,1,1,0,0
outdoor_manmade_0256,1,0,0,0,0,0
outdoor_manmade_0257,0,1,1,0,0,0
outdoor_natural_0011,1,0,0,0,0,0
indoor_0066,1,0,0,0,0,0
outdoor_manmade_0119,1,1,0,0,0,0
outdoor_manmade_0220,1,1,0,0,0,1
outdoor_manmade_0068,0,1,0,0,1,0
outdoor_manmade_0133,1,1,0,0,0,1
outdoor_manmade_0258,1,0,0,0,0,0
outdoor_manmade_0040,1,1,0,0,1,1
outdoor_natural_0132,0,1,0,0,1,0
outdoor_manmade_0064,1,0,0,0,0,0
outdoor_manmade_0032,1,1,0,0,0,0
outdoor_manmade_0063,0,0,0,0,0,0
outdoor_manmade_0015,1,0,0,0,0,0
outdoor_manmade_0110,1,1,0,0,1,0
outdoor_manmade_0167,0,1,0,0,0,0
outdoor_manmade_0117,0,1,0,1,0,0
outdoor_manmade_0030,0,1,0,0,0,0
outdoor_natural_0207,0,0,0,0,0,0
outdoor_natural_0053,0,0,0,0,0,1
outdoor_natural_0261,1,1,0,0,1,1
outdoor_natural_0097,1,0,0,0,1,0
outdoor_natural_0004,0,0,0,0,0,0
outdoor_manmade_0149,1,1,0,0,0,0
outdoor_natural_0034,1,1,0,0,0,1
outdoor_manmade_0161,1,0,0,0,0,0
indoor_0033,0,0,1,0,0,1
indoor_0163,0,1,0,0,0,0
indoor_0235,0,1,0,1,0,0
indoor_0100,0,0,0,0,0,0
indoor_0058,0,0,0,1,0,0
indoor_0145,1,0,0,0,0,0
indoor_0271,0,0,0,0,0,1
indoor_0266,0,1,0,1,1,0
indoor_0130,0,0,1,0,0,0
outdoor_manmade_0276,0,0,0,0,0,0
indoor_0025,0,1,1,0,0,0
indoor_0021,0,0,1,0,0,0
outdoor_manmade_0165,0,0,0,0,0,0
indoor_0283,1,0,1,0,0,0
indoor_0136,1,1,0,0,0,0
indoor_0249,0,0,0,0,0,0
indoor_0279,1,0,1,1,0,1
indoor_0215,0,0,0,1,0,0
indoor_0221,0,0,0,0,0,0
indoor_0216,0,0,0,1,0,0
indoor_0214,0,0,0,1,0,0
indoor_0080,1,0,0,1,0,0
indoor_0103,0,0,0,1,0,0
indoor_0146,0,0,1,0,0,0
indoor_0055,0,0,1,1,0,0
indoor_0212,0,1,0,0,0,0
indoor_0281,1,0,1,0,0,1
outdoor_manmade_0154,0,0,0,0,1,0
indoor_0270,0,1,0,1,1,0
outdoor_natural_0049,0,0,0,0,0,0
outdoor_natural_0009,0,0,0,0,0,1
outdoor_natural_0010,1,1,1,1,1,1
indoor_0272,1,1,0,1,0,0
outdoor_natural_0008,0,0,0,0,0,1
outdoor_natural_0052,1,1,0,0,0,0
outdoor_natural_0023,0,0,1,0,0,0
outdoor_natural_0250,0,1,0,1,0,0
outdoor_natural_0050,1,0,0,0,0,1
outdoor_natural_0017,1,0,0,1,1,0
outdoor_natural_0252,1,1,1,1,1,1
